Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD)
asphalt calculator,Informational,14800,"0.81,0.81,0.66,0.44,0.44,0.54,0.66,0.81,1.00,0.81,0.81,1.00",10,2.25
asphalt driveway cost calculator,Informational,1300,"0.85,0.85,0.69,0.52,0.52,0.85,1.00,1.00,0.69,0.69,0.85,0.52",17,2.08
cost of asphalt driveway calculator,"Informational, Commercial",880,"1.00,1.00,0.59,0.59,0.72,0.88,1.00,0.59,0.72,0.88,0.72,0.59",16,1.99
asphalt driveway calculator,"Informational, Commercial",720,"0.67,1.00,0.16,0.16,0.45,0.67,0.76,1.00,0.55,0.30,0.55,0.67",27,2.08
asphalt tonnage calculator,Informational,720,"0.72,0.72,0.59,0.39,0.48,0.59,0.59,0.88,0.88,0.88,1.00,1.00",15,4.39
asphalt cost calculator,Informational,480,"0.81,0.67,0.54,0.36,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.54",13,2.04
asphalt price calculator,Commercial,390,"0.66,0.66,0.54,0.35,0.54,0.66,0.81,1.00,1.00,0.66,0.81,0.66",12,1.80
asphalt ton calculator,Informational,390,"0.23,0.29,0.23,0.19,0.19,0.36,0.81,1.00,1.00,0.54,0.19,1.00",14,4.39
asphalt vs concrete driveway cost calculator,Informational,390,"0.28,0.36,0.23,0.23,0.36,0.44,0.67,0.83,1.00,0.83,1.00,0.67",33,1.80
asphalt calculation,Informational,320,"0.81,0.81,0.66,0.54,0.35,0.54,0.66,0.81,0.81,1.00,1.00,1.00",17,1.84
asphalt calculator tons,"Informational, Commercial",320,"0.66,1.00,0.66,0.43,0.43,0.35,0.66,1.00,1.00,0.66,0.81,1.00",22,1.46
how do you calculate asphalt tonnage,Informational,320,"1.00,1.00,0.66,0.43,0.54,0.43,0.35,0.54,0.66,0.66,0.54,0.66",12,0.96
american asphalt calculator,Informational,260,"0.53,1.00,0.66,0.53,0.43,0.66,0.66,1.00,0.82,0.66,0.82,1.00",5,3.65
asphalt millings calculator,"Informational, Commercial",260,"0.65,0.52,0.52,0.52,0.65,0.81,1.00,1.00,1.00,0.81,0.81,0.81",8,0.07
calculate asphalt tonnage,Informational,260,"0.36,0.45,0.24,0.05,0.05,0.06,0.05,0.06,0.08,0.06,1.00,0.08",19,4.39
how to calculate asphalt tonnage,Informational,260,"0.54,0.54,0.35,0.43,0.43,0.43,0.54,1.00,0.54,1.00,0.66,0.81",6,6.28
how to calculate tonnage for asphalt,Informational,260,"1.00,1.00,0.66,0.43,0.10,0.43,0.66,0.54,0.66,0.29,0.54,0.66",10,0.96
asphalt calculator square feet,"Informational, Commercial",210,"1.00,0.67,0.42,0.42,0.27,0.35,0.42,0.53,0.42,0.35,0.35,0.67",19,1.49
asphalt calculator square feet to tons,"Informational, Commercial",210,"0.80,0.65,0.80,0.43,0.43,0.43,0.43,0.80,1.00,0.80,0.80,1.00",17,2.34
asphalt paving cost calculator,"Informational, Commercial",210,"0.83,0.83,0.54,0.54,0.54,0.67,1.00,0.83,0.83,0.42,0.33,0.54",10,2.35
asphalt calculator formula,Informational,170,"0.80,0.65,0.53,0.42,0.53,0.53,0.65,0.65,0.42,0.80,0.65,1.00",27,0.00
asphalt quote calculator,"Informational, Commercial",170,"0.14,0.22,0.29,0.14,0.54,0.54,1.00,0.18,0.14,0.22,0.35,0.22",19,1.80
hot mix asphalt calculator,"Informational, Commercial",170,"0.82,1.00,0.66,0.66,0.43,0.52,0.52,0.82,1.00,0.66,0.66,0.82",18,0.00
vulcan asphalt calculator,"Informational, Transactional",170,"0.80,0.80,0.66,0.66,0.52,0.66,0.80,1.00,1.00,0.80,1.00,1.00",16,0.00
asphalt driveway resurface cost calculator,Informational,140,"0.28,0.21,0.15,0.15,0.15,0.21,0.43,0.28,0.53,0.53,0.81,1.00",9,2.40
how to calculate asphalt,Informational,140,"0.83,0.83,0.83,0.53,0.65,0.65,0.65,0.83,0.65,0.83,1.00,0.83",29,0.00
asphalt calculator app,Transactional,110,"0.51,0.51,0.51,0.40,0.40,0.63,0.51,1.00,0.83,1.00,0.63,0.63",20,1.55
asphalt calculator price,Transactional,110,"0.66,0.33,0.33,0.04,0.19,0.00,0.42,0.80,1.00,0.80,1.00,0.80",11,1.80
asphalt paving price calculator,Transactional,110,"0.42,0.42,0.33,0.23,0.33,0.52,0.80,0.80,1.00,0.52,0.42,0.52",10,2.35
crushed asphalt calculator,Informational,110,"0.33,0.33,0.23,0.23,0.33,0.42,0.66,0.80,0.80,1.00,0.52,0.52",12,0.59
