Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD)
concrete driveway cost calculator,Informational,880,"0.67,0.56,0.44,0.44,0.44,0.67,0.75,1.00,0.75,0.67,0.56,0.67",37,1.64
driveway concrete cost calculator,Informational,880,"0.56,0.56,0.30,0.30,0.44,0.37,1.00,1.00,1.00,1.00,0.77,0.68",37,1.64
calculate cost of concrete driveway,Informational,590,"0.59,0.59,0.32,0.39,0.02,0.59,1.00,0.32,0.88,0.88,0.72,0.59",48,1.48
asphalt vs concrete driveway cost calculator,Informational,390,"0.28,0.36,0.23,0.23,0.36,0.44,0.67,0.83,1.00,0.83,1.00,0.67",33,1.80
concrete driveway calculator,Informational,320,"0.67,0.54,0.43,0.43,0.67,0.81,1.00,1.00,1.00,0.81,0.81,0.81",35,1.79
concrete driveway calculator cost,Informational,260,"0.36,0.19,0.15,0.12,0.19,0.44,0.66,1.00,0.44,0.54,0.54,0.44",39,1.64
driveway calculator concrete,Informational,260,"0.54,0.43,0.35,0.35,0.43,0.43,0.54,1.00,0.66,0.54,0.54,0.43",28,2.00
concrete driveway quote calculator,"Informational, Commercial",140,"1.00,0.43,0.43,0.34,0.21,0.53,0.53,0.15,0.28,0.15,0.21,0.06",38,1.48
cost of concrete driveway calculator,Informational,140,"0.82,0.82,0.36,0.54,1.00,0.03,0.03,0.00,0.00,0.03,0.00,0.00",41,0.00
driveway concrete calculator,Informational,110,"0.82,0.52,0.41,0.41,0.64,0.64,1.00,0.82,1.00,0.82,0.82,0.82",28,1.79
concrete calculator for driveway,Informational,40,"0.43,0.29,0.43,0.29,0.57,0.43,0.43,0.71,0.71,0.57,0.57,1.00",27,2.00
calculate concrete driveway cost,Informational,30,"0.36,0.82,0.09,0.18,0.09,0.45,1.00,0.00,0.09,0.09,0.00,0.00",45,1.48
concrete calculator driveway,"Informational, Commercial",30,"0.39,0.59,0.20,0.59,0.80,0.59,0.39,0.80,1.00,0.39,0.59,0.39",36,2.00
stamped concrete driveway cost calculator,Informational,30,"0.17,1.00,0.17,0.36,0.17,0.27,0.17,0.17,0.17,0.17,0.17,0.17",24,2.26
concrete calculator formula for driveway,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00
concrete driveway estimate calculator,,20,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67",,2.57
concrete driveway paving cost calculator,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,1.90
concrete driveway replacement cost calculator,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,2.13
concrete driveway yard calculator,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00
cost of concreting driveway calculator,,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00
